system:index,TCB,blue,green,ndvi,nir,presence,red,swir1,swir2,.geo
264_0,0.33427006175965074,0.1089402,0.10239513,0.114263006,0.13279453,0.0,0.10555948,0.23551421,0.26623815,
3_0,0.22505339035056532,0.08789862,0.07323983,-0.09610487,0.06715454,1.0,0.08143469,0.26142403,0.049655955,
2_0,0.22562122530639175,0.08889931,0.07418643,-0.08325507,0.06596453,1.0,0.07794579,0.25666398,0.067316815,
8_0,0.23212561738826334,0.08806089,0.07253664,-0.10925997,0.062178127,1.0,0.07743192,0.29615074,0.05639034,
7_0,0.31022380767390134,0.10015033,0.09136047,0.010676143,0.11137431,1.0,0.109021336,0.3125675,0.130117,
210_0,0.34613513723909856,0.09685075,0.086032465,0.06603861,0.14996856,1.0,0.13138816,0.3540286,0.092496395,
215_0,0.34647266437485813,0.10142148,0.092496395,0.07185936,0.14180076,1.0,0.12278761,0.35405564,0.11919053,
213_0,0.291808770339936,0.10023147,0.0896025,0.057694867,0.10883202,1.0,0.096958935,0.28876725,0.12081327,
214_0,0.3876993396937848,0.102692634,0.09598529,0.08402906,0.16154414,1.0,0.13649979,0.41022962,0.13246998,
216_0,0.2535802782513201,0.08952136,0.0756469,-0.12478035,0.060609475,1.0,0.0778917,0.34613127,0.07764829,
212_0,0.31089124004840846,0.092144795,0.0797849,0.05294055,0.13582365,1.0,0.12216556,0.31478524,0.0655318,
211_0,0.2570558230787516,0.09330776,0.08075854,0.02870816,0.09885214,1.0,0.09333481,0.25631237,0.06961571,
262_0,0.0856695921421284,0.07908171,0.062475633,-0.23590338,0.026937542,0.0,0.043570668,0.010439646,0.0032184364,
263_0,0.08739176008263601,0.07986604,0.06296246,-0.23278446,0.027721869,0.0,0.044544313,0.011169882,0.0038404884,
219_0,0.30553561203926805,0.097689174,0.08762816,0.061472613,0.12749356,1.0,0.1127266,0.29176933,0.0978244,
241_0,0.2555892444744706,0.09790554,0.08532927,0.057340898,0.09076547,1.0,0.08092082,0.22664322,0.14109758,
245_0,0.19242050042524936,0.09057614,0.07680987,-0.010208377,0.06293541,1.0,0.0642336,0.17509405,0.06802001,
242_0,0.2842850406557322,0.10077239,0.0901975,0.062533416,0.10753382,1.0,0.094876416,0.2548519,0.14082712,
220_0,0.3255232577554882,0.10188126,0.09374049,0.07309785,0.13598593,1.0,0.1174596,0.29093093,0.13847414,
222_0,0.29343439641669394,0.10188126,0.090062276,0.009072864,0.09625575,1.0,0.09452482,0.30888927,0.13547206,
221_0,0.30561100542247294,0.10461288,0.094389595,0.062258817,0.11167181,1.0,0.09858168,0.2891459,0.15673,
217_0,0.294011775700748,0.100312606,0.09117115,0.08462359,0.109886795,1.0,0.092739806,0.29220206,0.13030632,
218_0,0.2638080533258617,0.102259904,0.091225244,0.04948705,0.09406505,1.0,0.085194044,0.23559535,0.13165861,
267_0,0.18146168818846345,0.0883043,0.07104913,-0.12433483,0.048952766,0.0,0.062854275,0.18418142,0.05868923,
266_0,0.2393817553818226,0.10382856,0.091035925,0.0035484156,0.084139265,0.0,0.083544254,0.16562805,0.14815651,
223_0,0.2877596145488322,0.10047489,0.090305686,-0.009965863,0.09806781,1.0,0.10004215,0.29853076,0.107939504,
6_0,0.2285383278232068,0.09198252,0.07635009,-0.10217759,0.05798604,1.0,0.07118436,0.28836158,0.066451356,
5_0,0.2350066275481135,0.08968364,0.07342915,-0.14395136,0.05138688,1.0,0.0686691,0.34542805,0.046924338,
9_0,0.2554457895673811,0.09022455,0.07653941,-0.078212254,0.07586327,1.0,0.08873703,0.317003,0.05898673,
10_0,0.3229539583586156,0.10309832,0.092198886,-0.003595294,0.10493743,1.0,0.10569471,0.34932265,0.1554318,
14_0,0.31286123083233836,0.10052898,0.08889931,0.051776167,0.12251715,1.0,0.11045476,0.31272978,0.11424116,
12_0,0.2989077590189874,0.10125921,0.09003523,0.053535856,0.11443048,1.0,0.10280082,0.29385185,0.115079574,
4_0,0.2644844946850092,0.08870999,0.074510984,-0.09405546,0.076458275,1.0,0.09233412,0.34548214,0.05449714,
11_0,0.2667412035979331,0.09874395,0.08697906,0.034991328,0.09679666,1.0,0.090251595,0.25239074,0.11345683,
13_0,0.29743260210305456,0.09979874,0.08911568,0.05711788,0.11437639,1.0,0.102016486,0.29385185,0.11364616,
17_0,0.23534292043969038,0.09046796,0.07589032,-0.10548688,0.06261086,1.0,0.077377826,0.2824656,0.0797849,
15_0,0.270507393861562,0.08998114,0.07575508,-0.053224817,0.08178628,1.0,0.09098183,0.34867355,0.06290837,
16_0,0.28528676881566645,0.09936601,0.0861136,-0.007995395,0.093956865,1.0,0.09547142,0.31116113,0.109832704,
20_0,0.24648458729572595,0.08916977,0.073591426,-0.14360088,0.053388268,1.0,0.07129254,0.36254802,0.06242154,
21_0,0.2557468240857125,0.09303731,0.079379216,-0.065268844,0.074754395,1.0,0.085194044,0.30834836,0.075673945,
22_0,0.27532960856929417,0.098230086,0.0861136,-0.0033483617,0.09257753,1.0,0.09319958,0.2912284,0.10353105,
27_0,0.2768239440716803,0.094876416,0.08175924,-0.09419153,0.07802693,1.0,0.09425437,0.34245303,0.08511291,
26_0,0.2511666262447834,0.08911568,0.073726654,-0.17751254,0.057769675,1.0,0.08270584,0.35521862,0.05419964,
25_0,0.26471903835684063,0.094146185,0.08151583,-0.055465475,0.07875716,1.0,0.0880068,0.3228449,0.07340211,
24_0,0.30673211585357785,0.104829244,0.09422732,0.03175416,0.108967245,1.0,0.102259904,0.31227,0.12825085,
23_0,0.23479082021564246,0.09198252,0.07672873,-0.08210278,0.063043594,1.0,0.074321665,0.2819247,0.08151583,
19_0,0.280225502281636,0.09552551,0.08324675,0.01744108,0.10334173,1.0,0.09979874,0.30023465,0.07748601,
18_0,0.2388010281905532,0.09092774,0.07672873,-0.11519382,0.06512611,1.0,0.082083784,0.29331094,0.060609475,
254_0,0.3186464121483267,0.116945736,0.10937293,0.08578061,0.12649287,0.0,0.10650608,0.20957737,0.22731936,
256_0,0.3215254396356642,0.11510662,0.10866974,0.095431015,0.13163157,0.0,0.10869679,0.21879995,0.2121467,
38_0,0.2865940627910197,0.10499152,0.095011644,0.032431707,0.10374742,1.0,0.0972294,0.27345937,0.11697278,
39_0,0.27274376386106014,0.10239513,0.09076547,0.010469715,0.0965803,1.0,0.094578914,0.26485884,0.102692634,
40_0,0.2944405884154141,0.10747973,0.09806781,0.04872689,0.10972452,1.0,0.09952828,0.26604885,0.1329568,
41_0,0.2935236222207547,0.09936601,0.09033273,-9.197173E-4,0.10282786,1.0,0.10301718,0.3122159,0.09633689,
32_0,0.2866058899365366,0.106479034,0.09606643,0.043348715,0.104153104,1.0,0.095498465,0.26039627,0.13466069,
34_0,0.29530982256010174,0.10931884,0.09936601,0.053296465,0.108237006,1.0,0.09728349,0.26420975,0.14434306,
42_0,0.2935127885617316,0.10674949,0.096715525,0.02502634,0.10523493,1.0,0.10009624,0.27816534,0.12541105,
35_0,0.28145345193222165,0.10501856,0.095065735,0.045755144,0.10477515,1.0,0.095606655,0.25209326,0.12484308,
33_0,0.2841180249325931,0.10461288,0.0949846,0.044332277,0.10353105,1.0,0.09474119,0.26331723,0.12687151,
36_0,0.2671205540902913,0.09663439,0.08400403,-0.011001728,0.09238821,1.0,0.09444369,0.28070763,0.0848695,
37_0,0.21828089703843,0.09517392,0.08175924,-0.048454836,0.06745204,1.0,0.074321665,0.21869177,0.07269892,
31_0,0.3012167206585407,0.106343806,0.09736463,0.049057573,0.109886795,1.0,0.09960942,0.28895658,0.13298385,
30_0,0.2732582657195628,0.1016108,0.09065729,0.028763881,0.099149644,1.0,0.093605265,0.26145107,0.10637085,
29_0,0.26028141377717257,0.09444369,0.08013649,-0.081909485,0.070481166,1.0,0.08305743,0.3208435,0.09157684,
43_0,0.27926447483599187,0.105126746,0.09509278,0.04243593,0.102313995,1.0,0.09398391,0.25322917,0.12368012,
28_0,0.24796464112475514,0.09241526,0.07735078,-0.088679895,0.07337506,1.0,0.08765521,0.29190457,0.06593748,
44_0,0.27421542154178025,0.10564062,0.09447073,0.03357788,0.09906851,1.0,0.09263162,0.24519658,0.124653764,
45_0,0.2979716046042741,0.102259904,0.093172535,0.032676563,0.11410593,1.0,0.10688472,0.28392607,0.1089402,
46_0,0.2600276730760932,0.09612052,0.084139265,-0.030112348,0.08754703,1.0,0.092983216,0.26764455,0.08757407,
47_0,0.27671501104161145,0.09868986,0.0845179,0.014806918,0.0899,1.0,0.08727656,0.2931216,0.13033336,
49_0,0.283828974083811,0.10209762,0.092442304,0.0277436,0.10169194,1.0,0.09620166,0.27475756,0.118000515,
48_0,0.2547458006218076,0.098960325,0.08587019,0.057916272,0.0909007,1.0,0.08094787,0.23483807,0.12400467,
